"BehaviorSpace results (NetLogo 6.1.0)"
"FrantisekProMisuV10.nlogo"
"testOfParamsV10"
"09/19/2019 23:57:20:256 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","RS","pReverseSorting","tauN","tauU","closeLinks","randomLinks","randomSeed?","homophily?","sigma","sortingPrice","cutoff12","cutoff23","cutoff34","steps","[step]","globalDiffSorting"
"168","168","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.063388"
"169","169","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.015847"
"170","170","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.069945"
"171","171","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.036066"
"173","173","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.079235"
"172","172","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.040437"
"174","174","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.043169"
"175","175","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.069399"
"176","176","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.005464"
"177","177","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.02459"
"178","178","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.044809"
"179","179","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.033333"
"180","180","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.027869"
"181","181","0.1","0.35","0.5","3","0.1","true","false","0","1.05","0.355","0.605","0.805","115","115","0.014754"
