"search-number","evaluation","tauN*","tauU*","cutoff12*","cutoff23*","cutoff34*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far"
"35","308","0.30000000000000004","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.987432"
"36","7","0.4","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.062295"
"36","140","0.35000000000000003","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.995082"
"37","7","0.5","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.181967"
"37","42","0.30000000000000004","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.117486"
"37","112","0.4","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.111475"
"38","7","0.30000000000000004","1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.156831"
"38","91","0.30000000000000004","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.14153"
"38","112","0.35000000000000003","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.078142"
"38","315","0.35000000000000003","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.018033"
"39","7","0.25","0.6000000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.273224"
"39","35","0.2","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.174317"
"39","70","0.30000000000000004","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.098907"
"39","147","0.30000000000000004","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.962295"
"40","7","1","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.378142"
"40","14","0.9500000000000001","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.354098"
"40","56","0.75","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.35082"
"40","112","0.2","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.171585"
"40","140","0.30000000000000004","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.112568"
"40","154","0.25","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.097268"
"40","301","0.30000000000000004","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.956284"
"41","7","0.9","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.392896"
"41","14","0.9500000000000001","1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.379781"
"41","35","0.8","0.75","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.367213"
"41","42","0.1","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.35847"
"41","49","0.4","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.146995"
"41","154","0.30000000000000004","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.134426"
"41","294","0.30000000000000004","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.984153"
"41","350","0.30000000000000004","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.972131"
"42","7","0.1","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.413115"
"42","14","0.8","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.396721"
"42","21","0.25","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.161202"
"42","189","0.2","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.128415"
"43","7","0.25","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.266667"
"43","35","0.55","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.259563"
"43","56","0.30000000000000004","0.65","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.159563"
"43","63","0.35000000000000003","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.142077"
"43","98","0.30000000000000004","0.4","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.123497"
"43","168","0.30000000000000004","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.991803"
"43","203","0.30000000000000004","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.974317"
"44","7","0.35000000000000003","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.989617"
"45","7","0.1","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.298361"
"45","14","0.30000000000000004","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.181421"
"45","56","0.35000000000000003","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.068852"
"45","315","0.4","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.061749"
"46","7","0.7000000000000001","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.403279"
"46","14","1","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.374863"
"46","21","0.25","0.7000000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.222404"
"46","56","0.45","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.153005"
"46","189","0.45","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.137158"
